iter	Passed	Remaining
753	5925	1933
754	5932	1925
755	5939	1916
756	5947	1909
757	5954	1901
758	5963	1893
759	5970	1885
760	5978	1877
761	5985	1869
762	5992	1861
763	6000	1853
764	6007	1845
765	6015	1837
766	6021	1829
767	6029	1821
768	6036	1813
769	6044	1805
770	6051	1797
771	6059	1789
772	6066	1781
773	6074	1773
774	6081	1765
775	6089	1757
776	6096	1749
777	6103	1741
778	6110	1733
779	6118	1725
780	6126	1717
781	6133	1709
782	6141	1701
783	6147	1693
784	6166	1688
785	6174	1681
786	6181	1672
787	6189	1665
788	6196	1657
789	6204	1649
790	6211	1641
791	6219	1633
792	6226	1625
793	6233	1617
794	6240	1609
795	6247	1601
796	6255	1593
797	6262	1585
798	6282	1580
799	6289	1572
800	6296	1564
801	6303	1556
802	6311	1548
803	6318	1540
804	6326	1532
805	6333	1524
806	6340	1516
807	6348	1508
808	6355	1500
809	6361	1492
810	6379	1486
811	6387	1478
812	6394	1470
813	6413	1465
814	6421	1457
815	6428	1449
816	6435	1441
817	6443	1433
818	6451	1425
819	6459	1417
820	6467	1409
821	6474	1401
822	6482	1394
823	6490	1386
824	6498	1378
825	6505	1370
826	6514	1362
827	6521	1354
828	6529	1346
829	6537	1338
830	6545	1331
831	6552	1323
832	6560	1315
833	6567	1307
834	6574	1299
835	6583	1291
836	6589	1283
837	6598	1275
838	6605	1267
839	6613	1259
840	6620	1251
841	6628	1243
842	6635	1235
843	6644	1228
844	6651	1220
845	6659	1212
846	6666	1204
847	6674	1196
848	6682	1188
849	6689	1180
850	6697	1172
851	6704	1164
852	6712	1156
853	6720	1148
854	6727	1140
855	6735	1132
856	6743	1125
857	6751	1117
858	6760	1109
859	6768	1101
860	6778	1094
861	6786	1086
862	6795	1078
863	6803	1070
864	6811	1063
865	6819	1055
866	6826	1047
867	6834	1039
868	6843	1031
869	6852	1023
870	6861	1016
871	6870	1008
872	6878	1000
873	6885	992
874	6893	984
875	6900	976
876	6908	968
877	6915	960
878	6923	953
879	6930	945
880	6938	937
881	6945	929
882	6953	921
883	6962	913
884	6970	905
885	6978	897
886	6986	890
887	6993	882
888	7001	874
889	7009	866
890	7017	858
891	7025	850
892	7032	842
893	7039	834
894	7047	826
895	7056	819
896	7064	811
897	7075	803
898	7084	795
899	7092	788
900	7102	780
901	7110	772
902	7118	764
903	7136	757
904	7142	749
905	7150	741
906	7158	734
907	7166	726
908	7173	718
909	7181	710
910	7189	702
911	7197	694
912	7208	686
913	7218	679
914	7227	671
915	7236	663
916	7245	655
917	7254	647
918	7263	640
919	7272	632
920	7282	624
921	7292	616
922	7301	609
923	7309	601
924	7318	593
925	7326	585
926	7334	577
927	7343	569
928	7351	561
929	7359	553
930	7368	546
931	7375	538
932	7382	530
933	7390	522
934	7398	514
935	7405	506
936	7413	498
937	7420	490
938	7428	482
939	7435	474
940	7442	466
941	7450	458
942	7458	450
943	7464	442
944	7473	434
945	7480	426
946	7488	419
947	7496	411
948	7503	403
949	7511	395
950	7517	387
951	7525	379
952	7532	371
953	7540	363
954	7547	355
955	7555	347
956	7562	339
957	7569	331
958	7576	323
959	7584	316
960	7591	308
961	7598	300
962	7606	292
963	7613	284
964	7622	276
965	7628	268
966	7637	260
967	7644	252
968	7652	244
969	7660	236
970	7669	229
971	7676	221
972	7698	213
973	7705	205
974	7712	197
975	7720	189
976	7727	181
977	7735	174
978	7742	166
979	7750	158
980	7757	150
981	7765	142
982	7772	134
983	7780	126
984	7787	118
985	7794	110
986	7802	102
987	7809	94
988	7818	86
989	7825	79
990	7833	71
991	7839	63
992	7847	55
993	7854	47
994	7862	39
995	7869	31
996	7877	23
997	7884	15
998	7891	7
999	7899	0
